Date, Date modified: 2024-11  missing value -999 https://psl.noaa.gov/data/timeseries/month/
2001-08-01, 1631.000
2001-09-01, 2338.000
2001-10-01, 2081.000
2001-11-01, 2127.000
2001-12-01, 2356.000
2002-01-01, 2273.000
2002-02-01, 2050.000
2002-03-01, 2044.000
2002-04-01, 1898.000
2002-05-01, 1784.000
2002-06-01, 1487.000
2002-07-01, 1735.000
2002-08-01, 1839.000
2002-09-01, 1758.000
2002-10-01, 1670.000
2002-11-01, 1687.000
2002-12-01, 1572.000
2003-01-01, 1440.000
2003-02-01, 1245.000
2003-03-01, 1322.000
2003-04-01, 1263.000
2003-05-01, 1162.000
2003-06-01, 1293.000
2003-07-01, 1277.000
2003-08-01, 1221.000
2003-09-01, 1122.000
2003-10-01, 1513.000
2003-11-01, 1408.000
2003-12-01, 1150.000
2004-01-01, 1141.000
2004-02-01, 1070.000
2004-03-01, 1120.000
2004-04-01, 1012.000
2004-05-01,  998.000
2004-06-01,  974.000
2004-07-01, 1185.000
2004-08-01, 1110.000
2004-09-01, 1030.000
2004-10-01, 1059.000
2004-11-01, 1137.000
2004-12-01,  950.000
2005-01-01, 1022.000
2005-02-01,  972.000
2005-03-01,  899.000
2005-04-01,  860.000
2005-05-01,  995.000
2005-06-01,  937.000
2005-07-01,  965.000
2005-08-01,  905.000
2005-09-01,  911.000
2005-10-01,  766.000
2005-11-01,  862.000
2005-12-01,  907.000
2006-01-01,  834.000
2006-02-01,  765.000
2006-03-01,  755.000
2006-04-01,  890.000
2006-05-01,  809.000
2006-06-01,  765.000
2006-07-01,  758.000
2006-08-01,  794.000
2006-09-01,  778.000
2006-10-01,  743.000
2006-11-01,  863.000
2006-12-01,  845.000
2007-01-01,  835.000
2007-02-01,  777.000
2007-03-01,  722.000
2007-04-01,  724.000
2007-05-01,  744.000
2007-06-01,  737.000
2007-07-01,  716.000
2007-08-01,  691.000
2007-09-01,  670.000
2007-10-01,  675.000
2007-11-01,  696.000
2007-12-01,  785.000
2008-01-01,  743.000
2008-02-01,  711.000
2008-03-01,  729.000
2008-04-01,  702.000
2008-05-01,  684.000
2008-06-01,  659.000
2008-07-01,  657.000
2008-08-01,  663.000
2008-09-01,  671.000
2008-10-01,  683.000
2008-11-01,  686.000
2008-12-01,  692.000
2009-01-01,  698.000
2009-02-01,  700.000
2009-03-01,  692.000
2009-04-01,  697.000
2009-05-01,  705.000
2009-06-01,  686.000
2009-07-01,  682.000
2009-08-01,  674.000
2009-09-01,  705.000
2009-10-01,  723.000
2009-11-01,  736.000
2009-12-01,  768.000
2010-01-01,  811.000
2010-02-01,  847.000
2010-03-01,  834.000
2010-04-01,  759.000
2010-05-01,  738.000
2010-06-01,  725.000
2010-07-01,  798.000
2010-08-01,  795.000
2010-09-01,  811.000
2010-10-01,  817.000
2010-11-01,  825.000
2010-12-01,  842.000
2011-01-01,  834.000
2011-02-01,  946.000
2011-03-01, 1158.000
2011-04-01, 1125.000
2011-05-01,  958.000
2011-06-01,  958.000
2011-07-01,  941.000
2011-08-01, 1017.000
2011-09-01, 1345.000
2011-10-01, 1372.000
2011-11-01, 1531.000
2011-12-01, 1412.000
2012-01-01, 1331.000
2012-02-01, 1068.000
2012-03-01, 1150.000
2012-04-01, 1131.000
2012-05-01, 1215.000
2012-06-01, 1209.000
2012-07-01, 1361.000
2012-08-01, 1157.000
2012-09-01, 1230.000
2012-10-01, 1232.000
2012-11-01, 1209.000
2012-12-01, 1083.000
2013-01-01, 1271.000
2013-02-01, 1042.000
2013-03-01, 1113.000
2013-04-01, 1251.000
2013-05-01, 1313.000
2013-06-01, 1101.000
2013-07-01, 1155.000
2013-08-01, 1154.000
2013-09-01, 1026.000
2013-10-01, 1324.000
2013-11-01, 1483.000
2013-12-01, 1477.000
2014-01-01, 1601.000
2014-02-01, 1702.000
2014-03-01, 1499.000
2014-04-01, 1442.000
2014-05-01, 1302.000
2014-06-01, 1221.000
2014-07-01, 1373.000
2014-08-01, 1252.000
2014-09-01, 1477.000
2014-10-01, 1551.000
2014-11-01, 1547.000
2014-12-01, 1589.000
2015-01-01, 1415.000
2015-02-01, 1289.000
2015-03-01, 1263.000
2015-04-01, 1290.000
2015-05-01, 1199.000
2015-06-01, 1268.000
2015-07-01, 1070.000
2015-08-01, 1065.000
2015-09-01, 1020.000
2015-10-01, 1040.000
2015-11-01, 1095.000
2015-12-01, 1127.000
2016-01-01, 1034.000
2016-02-01, 1035.000
2016-03-01,  915.000
2016-04-01,  934.000
2016-05-01,  932.000
2016-06-01,  819.000
2016-07-01,  859.000
2016-08-01,  849.000
2016-09-01,  877.000
2016-10-01,  860.000
2016-11-01,  785.000
2016-12-01,  751.000
2017-01-01,  773.000
2017-02-01,  768.000
2017-03-01,  746.000
2017-04-01,  810.000
2017-05-01,  735.000
2017-06-01,  747.000
2017-07-01,  776.000
2017-08-01,  779.000
2017-09-01,  933.000
2017-10-01,  764.000
2017-11-01,  723.000
2017-12-01,  715.000
2018-01-01,  700.000
2018-02-01,  720.000
2018-03-01,  684.000
2018-04-01,  700.000
2018-05-01,  709.000
2018-06-01,  725.000
2018-07-01,  697.000
2018-08-01,  691.000
2018-09-01,  683.000
2018-10-01,  695.000
2018-11-01,  689.000
2018-12-01,  700.000
2019-01-01,  716.000
2019-02-01,  706.000
2019-03-01,  715.000
2019-04-01,  725.000
2019-05-01,  713.000
2019-06-01,  681.000
2019-07-01,  673.000
2019-08-01,  671.000
2019-09-01,  680.000
2019-10-01,  675.000
2019-11-01,  702.000
2019-12-01,  709.000
2020-01-01,  723.000
2020-02-01,  709.000
2020-03-01,  702.000
2020-04-01,  696.000
2020-05-01,  692.000
2020-06-01,  697.000
2020-07-01,  695.000
2020-08-01,  717.000
2020-09-01,  706.000
2020-10-01,  746.000
2020-11-01,  901.000
2020-12-01,  873.000
2021-01-01,  901.000
2021-02-01,  873.000
2021-03-01,  761.000
2021-04-01,  743.000
2021-05-01,  765.000
2021-06-01,  747.000
2021-07-01,  798.000
2021-08-01,  810.000
2021-09-01,  779.000
2021-10-01,  901.000
2021-11-01,  866.000
2021-12-01, 1029.000
2022-01-01, 1041.000
2022-02-01, 1091.000
2022-03-01, 1178.000
2022-04-01, 1306.000
2022-05-01, 1340.000
2022-06-01, 1161.000
2022-07-01, 1256.000
2022-08-01, 1181.000
2022-09-01, 1347.000
2022-10-01, 1328.000
2022-11-01, 1236.000
2022-12-01, 1485.000
2023-01-01, 1825.000
2023-02-01, 1721.000
2023-03-01, 1575.000
2023-04-01, 1459.000
2023-05-01, 1560.000
2023-06-01, 1624.000
2023-07-01, 1775.000
2023-08-01, 1539.000
2023-09-01, 1557.000
2023-10-01, 1416.000
2023-11-01, 1544.000
2023-12-01, 1593.000
2024-01-01, 1640.000
2024-02-01, 1733.000
2024-03-01, 1551.000
2024-04-01, 1617.000
2024-05-01, 1884.000
2024-06-01, 1851.000
2024-07-01, 1986.000
2024-08-01, 2456.000
2024-09-01, 1967.000
2024-10-01, 2226.000
2024-11-01,-9999.000
2024-12-01,-9999.000
